type	time	latitude	longitude	altitude (m)	speed (km/h)	distance_interval (m)	name	desc
T	2016-12-23 18:28:28	43.659640644	-79.396802299	119.9	5.2	1.04		
T	2016-12-23 18:28:29	43.659647810	-79.396804059	120.3	3.3	0.82		
T	2016-12-23 18:28:30	43.659649906	-79.396805987	120.6	1.9	0.27		
T	2016-12-23 18:28:31	43.659651540	-79.396810765	120.9	1.2	0.42		
T	2016-12-23 18:28:32	43.659655354	-79.396816464	121.2	1.9	0.62		
T	2016-12-23 18:28:33	43.659653929	-79.396816464	122.1	1.0	0.19		
T	2016-12-23 18:28:34	43.659651876	-79.396815039	122.1	0.7	0.23		
T	2016-12-23 18:28:35	43.659650660	-79.396809675	122.3	1.2	0.44		
T	2016-12-23 18:28:36	43.659652211	-79.396796012	121.6	2.8	1.12		
T	2016-12-23 18:28:37	43.659652839	-79.396780590	121.3	4.2	1.24		
T	2016-12-23 18:28:38	43.659651876	-79.396759551	121.2	5.3	1.69		
T	2016-12-23 18:28:39	43.659648523	-79.396738513	121.7	6.1	1.73		
T	2016-12-23 18:28:42	43.659639177	-79.396718144	122.7	3.3	1.94		
T	2016-12-23 18:28:43	43.659636998	-79.396717474	122.8	1.9	0.23		
T	2016-12-23 18:28:44	43.659635782	-79.396718731	123.0	0.7	0.13		
T	2016-12-23 18:28:45	43.659639554	-79.396709343	122.9	1.3	0.86		
T	2016-12-23 18:28:46	43.659641398	-79.396688473	123.0	4.5	1.69		
T	2016-12-23 18:28:47	43.659640560	-79.396672044	123.1	5.4	1.33		
T	2016-12-23 18:28:48	43.659638381	-79.396661315	123.0	4.0	0.90		
T	2016-12-23 18:28:49	43.659636118	-79.396651760	123.0	3.1	0.81		
T	2016-12-23 18:28:50	43.659634441	-79.396642540	122.9	2.8	0.77		
T	2016-12-23 18:28:51	43.659633100	-79.396633320	122.8	2.7	0.75		
T	2016-12-23 18:28:52	43.659631927	-79.396624100	122.7	2.7	0.75		
T	2016-12-23 18:28:53	43.659630879	-79.396614879	122.5	2.7	0.75		
T	2016-12-23 18:28:54	43.659629915	-79.396605659	122.3	2.7	0.74		
T	2016-12-23 18:28:55	43.659629077	-79.396596607	122.1	2.7	0.73		
